imdb_id,actor
tt0111161,Tim Robbins
tt0111161,Morgan Freeman
tt0111161,Bob Gunton
tt0068646,Marlon Brando
tt0068646,Al Pacino
tt0068646,James Caan
tt0468569,Christian Bale
tt0468569,Heath Ledger
tt0468569,Aaron Eckhart
tt0071562,Al Pacino
tt0071562,Robert De Niro
tt0071562,Robert Duvall
tt0050083,Henry Fonda
tt0050083,Lee J. Cobb
tt0050083,Martin Balsam
tt0167260,Elijah Wood
tt0167260,Viggo Mortensen
tt0167260,Ian McKellen
tt0108052,Liam Neeson
tt0108052,Ralph Fiennes
tt0108052,Ben Kingsley
tt0110912,John Travolta
tt0110912,Uma Thurman
tt0110912,Samuel L. Jackson
tt0120737,Elijah Wood
tt0120737,Ian McKellen
tt0120737,Orlando Bloom
tt0060196,Clint Eastwood
tt0060196,Eli Wallach
tt0060196,Lee Van Cleef
tt0109830,Tom Hanks
tt0109830,Robin Wright
tt0109830,Gary Sinise
tt0167261,Elijah Wood
tt0167261,Ian McKellen
tt0167261,Viggo Mortensen
tt0137523,Brad Pitt
tt0137523,Edward Norton
tt0137523,Meat Loaf
tt1375666,Leonardo DiCaprio
tt1375666,Joseph Gordon-Levitt
tt1375666,Elliot Page
tt0080684,Mark Hamill
tt0080684,Harrison Ford
tt0080684,Carrie Fisher
tt0133093,Keanu Reeves
tt0133093,Laurence Fishburne
tt0133093,Carrie-Anne Moss
tt0099685,Robert De Niro
tt0099685,Ray Liotta
tt0099685,Joe Pesci
tt0073486,Jack Nicholson
tt0073486,Louise Fletcher
tt0073486,Michael Berryman
tt0816692,Matthew McConaughey
tt0816692,Anne Hathaway
tt0816692,Jessica Chastain
tt0114369,Morgan Freeman
tt0114369,Brad Pitt
tt0114369,Kevin Spacey
tt0038650,James Stewart
tt0038650,Donna Reed
tt0038650,Lionel Barrymore
tt0047478,Toshirô Mifune
tt0047478,Takashi Shimura
tt0047478,Keiko Tsushima
tt0102926,Jodie Foster
tt0102926,Anthony Hopkins
