title,google_service_id,price
The Shawshank Redemption,gg_4,Langganan
The Shawshank Redemption,gg_2,Langganan
The Godfather,gg_5,Langganan
The Godfather,gg_6,Langganan
The Godfather,gg_3,Langganan
The Godfather,gg_2,Langganan
The Dark Knight,gg_4,Langganan
The Dark Knight,gg_3,Langganan
The Dark Knight,gg_2,Langganan
The Godfather Part Ii,gg_6,Langganan
The Godfather Part Ii,gg_3,Langganan
The Godfather Part Ii,gg_2,Langganan
12 Angry Men,gg_2,"25.000,00"
The Lord Of The Rings: The Return Of The King,gg_4,Langganan
The Lord Of The Rings: The Return Of The King,gg_2,Langganan
Schindler'S List,gg_1,Langganan
Pulp Fiction,gg_5,Langganan
Pulp Fiction,gg_2,Langganan
The Lord Of The Rings: The Fellowship Of The Ring,gg_4,Langganan
The Lord Of The Rings: The Fellowship Of The Ring,gg_1,Langganan
The Lord Of The Rings: The Fellowship Of The Ring,gg_3,Langganan
The Lord Of The Rings: The Fellowship Of The Ring,gg_2,Langganan
"The Good, The Bad And The Ugly",gg_2,"25.000,00"
Forrest Gump,gg_2,"25.000,00"
The Lord Of The Rings: The Two Towers,gg_4,Langganan
The Lord Of The Rings: The Two Towers,gg_1,Langganan
The Lord Of The Rings: The Two Towers,gg_2,Langganan
The Lord Of The Rings: The Two Towers,gg_3,Langganan
Inception,gg_4,Langganan
Inception,gg_2,Langganan
Inception,gg_3,Langganan
The Matrix,gg_4,Langganan
The Matrix,gg_3,Langganan
The Matrix,gg_2,Langganan
Goodfellas,gg_5,Langganan
Goodfellas,gg_4,Langganan
Goodfellas,gg_3,Langganan
Goodfellas,gg_2,Langganan
Interstellar,gg_4,Langganan
Interstellar,gg_2,Langganan
Interstellar,gg_3,Langganan
Se7En,gg_5,Langganan
Se7En,gg_4,Langganan
Se7En,gg_2,Langganan
The Silence Of The Lambs,gg_2,"25.000,00"
Saving Private Ryan,gg_5,Langganan
Saving Private Ryan,gg_3,Langganan
The Green Mile,gg_5,Langganan
The Green Mile,gg_2,Langganan
The Green Mile,gg_3,Langganan
Terminator 2: Judgment Day,gg_2,"25.000,00"
Back To The Future,gg_1,Langganan
Spirited Away,gg_5,Langganan
Parasite,gg_7,Langganan
Psycho,gg_5,Langganan
Gladiator,gg_4,Langganan
Gladiator,gg_2,Langganan
Gladiator,gg_3,Langganan
The Departed,gg_2,"25.000,00"
The Departed,gg_3,"25.000,00"
Spider-Man: Across The Spider-Verse,gg_5,Langganan
Spider-Man: Across The Spider-Verse,gg_3,Langganan
Spider-Man: Across The Spider-Verse,gg_2,Langganan
Grave Of The Fireflies,gg_5,Langganan
American History X,gg_3,"28.000,00"
The Prestige,gg_4,Langganan
The Prestige,gg_2,Langganan
Casablanca,gg_3,"25.000,00"
Casablanca,gg_2,"25.000,00"
Dune: Part Two,gg_4,Langganan
Dune: Part Two,gg_2,Langganan
Dune: Part Two,gg_3,Langganan
Django Unchained,gg_6,Langganan
Django Unchained,gg_2,Langganan
City Lights,gg_2,"29.000,00"
Indiana Jones And The Raiders Of The Lost Ark,gg_3,"25.000,00"
Indiana Jones And The Raiders Of The Lost Ark,gg_2,"25.000,00"
12Th Fail,gg_5,Langganan
Sunset Boulevard,gg_3,"25.000,00"
Paths Of Glory,gg_2,"25.000,00"
Spider-Man: Into The Spider-Verse,gg_4,Langganan
Spider-Man: Into The Spider-Verse,gg_6,Langganan
Spider-Man: Into The Spider-Verse,gg_3,Langganan
Spider-Man: Into The Spider-Verse,gg_2,Langganan
Witness For The Prosecution,gg_2,"25.000,00"
The Shining,gg_4,Langganan
The Shining,gg_2,Langganan
Inglourious Basterds,gg_1,Langganan
Inglourious Basterds,gg_2,Langganan
Inglourious Basterds,gg_3,Langganan
The Dark Knight Rises,gg_4,Langganan
The Dark Knight Rises,gg_2,Langganan
The Dark Knight Rises,gg_3,Langganan
Amadeus,gg_2,"25.000,00"
Dr. Strangelove Or: How I Learned To Stop Worrying And Love The Bomb,gg_2,"25.000,00"
American Beauty,gg_3,"25.000,00"
American Beauty,gg_2,"25.000,00"
Good Will Hunting,gg_4,Langganan
Good Will Hunting,gg_2,Langganan
Princess Mononoke,gg_5,Langganan
Your Name.,gg_2,"29.000,00"
Joker,gg_4,Langganan
Joker,gg_2,Langganan
Joker,gg_3,Langganan
High And Low,gg_5,Langganan
3 Idiots,gg_2,"25.000,00"
Requiem For A Dream,gg_2,"25.000,00"
The Hunt,gg_5,Langganan
The Hunt,gg_2,Langganan
The Hunt,gg_3,Langganan
Eternal Sunshine Of The Spotless Mind,gg_5,Langganan
Eternal Sunshine Of The Spotless Mind,gg_7,Langganan
Eternal Sunshine Of The Spotless Mind,gg_1,Langganan
2001: A Space Odyssey,gg_3,"25.000,00"
2001: A Space Odyssey,gg_2,"25.000,00"
Reservoir Dogs,gg_2,"25.000,00"
Lawrence Of Arabia,gg_5,Langganan
Lawrence Of Arabia,gg_3,Langganan
Lawrence Of Arabia,gg_2,Langganan
The Apartment,gg_2,"25.000,00"
Scarface,gg_1,Langganan
Scarface,gg_6,Langganan
North By Northwest,gg_3,"25.000,00"
North By Northwest,gg_2,"25.000,00"
Citizen Kane,gg_2,"25.000,00"
Citizen Kane,gg_3,"25.000,00"
Heat,gg_6,Langganan
Full Metal Jacket,gg_3,"28.000,00"
Oppenheimer,gg_4,Langganan
Oppenheimer,gg_2,Langganan
Oppenheimer,gg_3,Langganan
Indiana Jones And The Last Crusade,gg_3,"25.000,00"
Indiana Jones And The Last Crusade,gg_2,"25.000,00"
Snatch,gg_6,Langganan
Snatch,gg_2,Langganan
Snatch,gg_3,Langganan
L.A. Confidential,gg_6,Langganan
Taxi Driver,gg_2,"25.000,00"
Taxi Driver,gg_3,"25.000,00"
Batman Begins,gg_5,Langganan
Batman Begins,gg_4,Langganan
Batman Begins,gg_2,Langganan
Batman Begins,gg_3,Langganan
For A Few Dollars More,gg_2,"25.000,00"
The Truman Show,gg_3,"25.000,00"
The Truman Show,gg_2,"25.000,00"
The Father,gg_2,"25.000,00"
Shutter Island,gg_2,"25.000,00"
All About Eve,gg_5,Langganan
Jurassic Park,gg_1,Langganan
Jurassic Park,gg_6,Langganan
Jurassic Park,gg_2,Langganan
Jurassic Park,gg_3,Langganan
Casino,gg_1,Langganan
Top Gun: Maverick,gg_3,"25.000,00"
Top Gun: Maverick,gg_2,"25.000,00"
No Country For Old Men,gg_3,"25.000,00"
No Country For Old Men,gg_2,"25.000,00"
Unforgiven,gg_2,"25.000,00"
A Beautiful Mind,gg_3,"25.000,00"
A Beautiful Mind,gg_2,"25.000,00"
The Treasure Of The Sierra Madre,gg_2,"25.000,00"
Prisoners,gg_2,"25.000,00"
The Great Escape,gg_2,"25.000,00"
Monty Python And The Holy Grail,gg_2,"25.000,00"
Howl'S Moving Castle,gg_5,Langganan
Gone With The Wind,gg_3,"25.000,00"
V For Vendetta,gg_4,Langganan
V For Vendetta,gg_3,Langganan
V For Vendetta,gg_2,Langganan
Raging Bull,gg_2,"25.000,00"
Raging Bull,gg_3,"25.000,00"
Klaus,gg_5,Langganan
The Bridge On The River Kwai,gg_2,"25.000,00"
Catch Me If You Can,gg_6,Langganan
Catch Me If You Can,gg_3,Langganan
Catch Me If You Can,gg_2,Langganan
Fargo,gg_2,"25.000,00"
Warrior,gg_2,"25.000,00"
Warrior,gg_3,"25.000,00"
Spider-Man: No Way Home,gg_5,Langganan
Spider-Man: No Way Home,gg_3,Langganan
Spider-Man: No Way Home,gg_2,Langganan
Gran Torino,gg_3,"28.000,00"
Harry Potter And The Deathly Hallows: Part 2,gg_4,Langganan
Harry Potter And The Deathly Hallows: Part 2,gg_3,Langganan
Harry Potter And The Deathly Hallows: Part 2,gg_2,Langganan
My Neighbor Totoro,gg_5,Langganan
Mad Max: Fury Road,gg_5,Langganan
Mad Max: Fury Road,gg_4,Langganan
Mad Max: Fury Road,gg_2,Langganan
Ben-Hur,gg_2,"25.000,00"
Children Of Heaven,gg_2,"25.000,00"
Barry Lyndon,gg_3,"25.000,00"
Barry Lyndon,gg_2,"25.000,00"
Before Sunrise,gg_3,"28.000,00"
Hacksaw Ridge,gg_5,Langganan
Hacksaw Ridge,gg_6,Langganan
Gone Girl,gg_6,Langganan
Maharaja,gg_5,Langganan
How To Train Your Dragon,gg_2,"25.000,00"
How To Train Your Dragon,gg_3,"25.000,00"
Jaws,gg_5,Langganan
Jaws,gg_1,Langganan
On The Waterfront,gg_2,"25.000,00"
On The Waterfront,gg_3,"25.000,00"
The Wages Of Fear,gg_5,Langganan
Mr. Smith Goes To Washington,gg_2,"25.000,00"
Rocky,gg_2,"25.000,00"
The Terminator,gg_2,"25.000,00"
Platoon,gg_2,"25.000,00"
Jai Bhim,gg_1,Langganan
Before Sunset,gg_3,"28.000,00"
The Exorcist,gg_3,"25.000,00"
The Exorcist,gg_2,"25.000,00"
The Wizard Of Oz,gg_3,"25.000,00"
The Wizard Of Oz,gg_2,"25.000,00"
Network,gg_2,"25.000,00"
Stand By Me,gg_5,Langganan
Stand By Me,gg_2,Langganan
Into The Wild,gg_3,"25.000,00"
Into The Wild,gg_2,"25.000,00"
The Iron Giant,gg_2,"25.000,00"
Groundhog Day,gg_2,"25.000,00"
Groundhog Day,gg_3,"25.000,00"
Rebecca,gg_5,Langganan
Cool Hand Luke,gg_2,"25.000,00"
Cool Hand Luke,gg_3,"25.000,00"
A Silent Voice: The Movie,gg_5,Langganan
