Title,Streaming On,Price,IMDb_URL
The shawshank redemption,Max,Subscription,https://www.imdb.com/title/tt0111161
The shawshank redemption,Apple TV,Subscription,https://www.imdb.com/title/tt0111161
The godfather,Netflix,Subscription,
The godfather,Vidio,Subscription,
The godfather,Google Play Movies & TV,Subscription,
The godfather,Apple TV,Subscription,
The dark knight,Max,Subscription,https://www.imdb.com/title/tt0468569
The dark knight,Google Play Movies & TV,Subscription,https://www.imdb.com/title/tt0468569
The dark knight,Apple TV,Subscription,https://www.imdb.com/title/tt0468569
The godfather part ii,Vidio,Subscription,
The godfather part ii,Google Play Movies & TV,Subscription,
The godfather part ii,Apple TV,Subscription,
12 angry men,Apple TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0050083
The lord of the rings: the return of the king,Max,Subscription,https://www.imdb.com/title/tt0167260
The lord of the rings: the return of the king,Amazon Prime Video,Subscription,https://www.imdb.com/title/tt0167260
The lord of the rings: the return of the king,Apple TV,Subscription,https://www.imdb.com/title/tt0167260
The lord of the rings: the return of the king,Google Play Movies & TV,Subscription,https://www.imdb.com/title/tt0167260
Schindler's list,Amazon Prime Video,Subscription,https://www.imdb.com/title/tt0108052
Pulp fiction,Netflix,Subscription,
Pulp fiction,Apple TV,Subscription,
The lord of the rings: the fellowship of the ring,Max,Subscription,
The lord of the rings: the fellowship of the ring,Amazon Prime Video,Subscription,
The lord of the rings: the fellowship of the ring,Google Play Movies & TV,Subscription,
The lord of the rings: the fellowship of the ring,Apple TV,Subscription,
"The good, the bad and the ugly",Apple TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0060196
Forrest gump,Apple TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0109830
The lord of the rings: the two towers,Max,Subscription,https://www.imdb.com/title/tt0167261
The lord of the rings: the two towers,Amazon Prime Video,Subscription,https://www.imdb.com/title/tt0167261
The lord of the rings: the two towers,Apple TV,Subscription,https://www.imdb.com/title/tt0167261
The lord of the rings: the two towers,Google Play Movies & TV,Subscription,https://www.imdb.com/title/tt0167261
Fight club,Not Available,Not Available,Not Available
Inception,Max,Subscription,
Inception,Apple TV,Subscription,
Inception,Google Play Movies & TV,Subscription,
Star wars: episode v - the empire strikes back,Not Available,Not Available,Not Available
The matrix,Max,Subscription,
The matrix,Google Play Movies & TV,Subscription,
The matrix,Apple TV,Subscription,
Goodfellas,Netflix,Subscription,https://www.imdb.com/title/tt0099685
Goodfellas,Max,Subscription,https://www.imdb.com/title/tt0099685
Goodfellas,Google Play Movies & TV,Subscription,https://www.imdb.com/title/tt0099685
Goodfellas,Apple TV,Subscription,https://www.imdb.com/title/tt0099685
One flew over the cuckoo's nest,Not Available,Not Available,Not Available
Interstellar,Max,Subscription,https://www.imdb.com/title/tt0816692
Interstellar,Apple TV,Subscription,https://www.imdb.com/title/tt0816692
Interstellar,Google Play Movies & TV,Subscription,https://www.imdb.com/title/tt0816692
Seven,Netflix,Subscription,https://www.imdb.com/title/tt0114369
Seven,Max,Subscription,https://www.imdb.com/title/tt0114369
Seven,Apple TV,Subscription,https://www.imdb.com/title/tt0114369
It's a wonderful life,Not Available,Not Available,Not Available
Seven samurai,Not Available,Not Available,Not Available
The silence of the lambs,Apple TV,"Rp 25.000,00",
Saving private ryan,Netflix,Subscription,https://www.imdb.com/title/tt0120815
Saving private ryan,Google Play Movies & TV,Subscription,https://www.imdb.com/title/tt0120815
City of god,Not Available,Not Available,Not Available
The green mile,Netflix,Subscription,https://www.imdb.com/title/tt0120689
The green mile,Apple TV,Subscription,https://www.imdb.com/title/tt0120689
The green mile,Google Play Movies & TV,Subscription,https://www.imdb.com/title/tt0120689
Life is beautiful,Not Available,Not Available,Not Available
Terminator 2: judgment day,Apple TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0103064
Star wars: episode iv - a new hope,Not Available,Not Available,Not Available
Back to the future,Amazon Prime Video,Subscription,https://www.imdb.com/title/tt0088763
Spirited away,Netflix,Subscription,https://www.imdb.com/title/tt0245429
The pianist,Not Available,Not Available,Not Available
Parasite,iQIYI,Subscription,
Psycho,Not Available,Not Available,Not Available
Gladiator,Max,Subscription,
Gladiator,Apple TV,Subscription,
Gladiator,Google Play Movies & TV,Subscription,
The lion king,Not Available,Not Available,Not Available
