Rank,Title,IMDb_ID,Year,Rating
1,The Shawshank Redemption,tt0111161,1994,9.3
2,The Godfather,tt0068646,1972,9.2
3,The Dark Knight,tt0468569,2008,9.0
4,The Godfather Part II,tt0071562,1974,9.0
5,12 Angry Men,tt0050083,1957,9.0
6,The Lord of the Rings: The Return of the King,tt0167260,2003,9.0
7,Schindler's List,tt0108052,1993,9.0
8,Pulp Fiction,tt0110912,1994,8.9
9,The Lord of the Rings: The Fellowship of the Ring,tt0120737,2001,8.9
10,"The Good, the Bad and the Ugly",tt0060196,1966,8.8
11,Forrest Gump,tt0109830,1994,8.8
12,The Lord of the Rings: The Two Towers,tt0167261,2002,8.8
13,Fight Club,tt0137523,1999,8.8
14,Inception,tt1375666,2010,8.8
15,Star Wars: Episode V - The Empire Strikes Back,tt0080684,1980,8.7
16,The Matrix,tt0133093,1999,8.7
17,Goodfellas,tt0099685,1990,8.7
18,One Flew Over the Cuckoo's Nest,tt0073486,1975,8.7
19,Interstellar,tt0816692,2014,8.7
20,Se7en,tt0114369,1995,8.6
21,It's a Wonderful Life,tt0038650,1946,8.6
22,Seven Samurai,tt0047478,1954,8.6
23,The Silence of the Lambs,tt0102926,1991,8.6
24,Saving Private Ryan,tt0120815,1998,8.6
25,City of God,tt0317248,2002,8.6
26,The Green Mile,tt0120689,1999,8.6
27,Life Is Beautiful,tt0118799,1997,8.6
28,Terminator 2: Judgment Day,tt0103064,1991,8.6
29,Star Wars: Episode IV - A New Hope,tt0076759,1977,8.6
30,Back to the Future,tt0088763,1985,8.5
31,Spirited Away,tt0245429,2001,8.6
32,The Pianist,tt0253474,2002,8.5
33,Parasite,tt6751668,2019,8.5
34,Psycho,tt0054215,1960,8.5
35,Gladiator,tt0172495,2000,8.5
36,The Lion King,tt0110357,1994,8.5
37,The Departed,tt0407887,2006,8.5
38,Spider-Man: Across the Spider-Verse,tt9362722,2023,8.6
39,Grave of the Fireflies,tt0095327,1988,8.5
40,Whiplash,tt2582802,2014,8.5
41,American History X,tt0120586,1998,8.5
42,Léon: The Professional,tt0110413,1994,8.5
43,The Prestige,tt0482571,2006,8.5
44,Harakiri,tt0056058,1962,8.6
45,Casablanca,tt0034583,1942,8.5
46,The Usual Suspects,tt0114814,1995,8.5
47,The Intouchables,tt1675434,2011,8.5
48,Cinema Paradiso,tt0095765,1988,8.5
49,Dune: Part Two,tt15239678,2024,8.5
50,Modern Times,tt0027977,1936,8.5
51,Alien,tt0078748,1979,8.5
52,Rear Window,tt0047396,1954,8.5
53,Once Upon a Time in the West,tt0064116,1968,8.5
54,Django Unchained,tt1853728,2012,8.5
55,City Lights,tt0021749,1931,8.5
56,Apocalypse Now,tt0078788,1979,8.4
57,Memento,tt0209144,2000,8.4
58,WALL·E,tt0910970,2008,8.4
59,Indiana Jones and the Raiders of the Lost Ark,tt0082971,1981,8.4
60,The Lives of Others,tt0405094,2006,8.4
61,12th Fail,tt23849204,2023,8.8
62,Sunset Boulevard,tt0043014,1950,8.4
63,Avengers: Infinity War,tt4154756,2018,8.4
64,Paths of Glory,tt0050825,1957,8.4
65,Spider-Man: Into the Spider-Verse,tt4633694,2018,8.4
66,Witness for the Prosecution,tt0051201,1957,8.4
67,The Shining,tt0081505,1980,8.4
68,The Great Dictator,tt0032553,1940,8.4
69,Aliens,tt0090605,1986,8.4
70,Inglourious Basterds,tt0361748,2009,8.4
71,The Dark Knight Rises,tt1345836,2012,8.4
72,Coco,tt2380307,2017,8.4
73,Amadeus,tt0086879,1984,8.4
74,Toy Story,tt0114709,1995,8.3
75,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,tt0057012,1964,8.3
76,Oldboy,tt0364569,2003,8.3
77,American Beauty,tt0169547,1999,8.3
78,Avengers: Endgame,tt4154796,2019,8.4
79,Das Boot,tt0082096,1981,8.4
80,Good Will Hunting,tt0119217,1997,8.3
81,Braveheart,tt0112573,1995,8.3
82,Princess Mononoke,tt0119698,1997,8.3
83,Your Name.,tt5311514,2016,8.4
84,Joker,tt7286456,2019,8.4
85,High and Low,tt0057565,1963,8.4
86,3 Idiots,tt1187043,2009,8.4
87,Once Upon a Time in America,tt0087843,1984,8.3
88,Singin' in the Rain,tt0045152,1952,8.3
89,Capernaum,tt8267604,2018,8.4
90,Come and See,tt0091251,1985,8.3
91,Requiem for a Dream,tt0180093,2000,8.3
92,Toy Story 3,tt0435761,2010,8.3
93,Star Wars: Episode VI - Return of the Jedi,tt0086190,1983,8.3
94,The Hunt,tt2106476,2012,8.3
95,Eternal Sunshine of the Spotless Mind,tt0338013,2004,8.3
96,Ikiru,tt0044741,1952,8.3
97,2001: A Space Odyssey,tt0062622,1968,8.3
98,Reservoir Dogs,tt0105236,1992,8.3
99,Lawrence of Arabia,tt0056172,1962,8.3
100,The Apartment,tt0053604,1960,8.3
101,Incendies,tt1255953,2010,8.3
102,Scarface,tt0086250,1983,8.3
103,North by Northwest,tt0053125,1959,8.3
104,Double Indemnity,tt0036775,1944,8.3
105,Citizen Kane,tt0033467,1941,8.3
106,M,tt0022100,1931,8.3
107,Vertigo,tt0052357,1958,8.3
