title,google_service_id,price,imdb_id
The Shawshank Redemption,gg_4,Subscription,tt0111161
The Shawshank Redemption,gg_2,Subscription,tt0111161
The Dark Knight,gg_4,Subscription,tt0468569
The Dark Knight,gg_3,Subscription,tt0468569
The Dark Knight,gg_2,Subscription,tt0468569
12 Angry Men,gg_2,"From  25.000,00",tt0050083
The Lord Of The Rings: The Return Of The King,gg_4,Subscription,tt0167260
The Lord Of The Rings: The Return Of The King,gg_1,Subscription,tt0167260
The Lord Of The Rings: The Return Of The King,gg_2,Subscription,tt0167260
The Lord Of The Rings: The Return Of The King,gg_3,Subscription,tt0167260
Schindler'S List,gg_1,Subscription,tt0108052
"The Good, The Bad And The Ugly",gg_2,"From  25.000,00",tt0060196
Forrest Gump,gg_2,"From  25.000,00",tt0109830
The Lord Of The Rings: The Two Towers,gg_4,Subscription,tt0167261
The Lord Of The Rings: The Two Towers,gg_1,Subscription,tt0167261
The Lord Of The Rings: The Two Towers,gg_2,Subscription,tt0167261
The Lord Of The Rings: The Two Towers,gg_3,Subscription,tt0167261
Goodfellas,gg_5,Subscription,tt0099685
Goodfellas,gg_4,Subscription,tt0099685
Goodfellas,gg_3,Subscription,tt0099685
Goodfellas,gg_2,Subscription,tt0099685
Interstellar,gg_4,Subscription,tt0816692
Interstellar,gg_2,Subscription,tt0816692
Interstellar,gg_3,Subscription,tt0816692
Seven,gg_5,Subscription,tt0114369
Seven,gg_4,Subscription,tt0114369
Seven,gg_2,Subscription,tt0114369
Saving Private Ryan,gg_5,Subscription,tt0120815
Saving Private Ryan,gg_3,Subscription,tt0120815
The Green Mile,gg_5,Subscription,tt0120689
The Green Mile,gg_2,Subscription,tt0120689
The Green Mile,gg_3,Subscription,tt0120689
Terminator 2: Judgment Day,gg_2,"From  25.000,00",tt0103064
Back To The Future,gg_1,Subscription,tt0088763
Spirited Away,gg_5,Subscription,tt0245429
The Departed,gg_2,"From  25.000,00",tt0407887
The Departed,gg_3,"From  25.000,00",tt0407887
Spider-Man: Across The Spider-Verse,gg_5,Subscription,tt9362722
Spider-Man: Across The Spider-Verse,gg_3,Subscription,tt9362722
Spider-Man: Across The Spider-Verse,gg_2,Subscription,tt9362722
Grave Of The Fireflies,gg_5,Subscription,tt0095327
American History X,gg_3,"From  28.000,00",tt0120586
The Prestige,gg_4,Subscription,tt0482571
The Prestige,gg_2,Subscription,tt0482571
12Th Fail,gg_5,Subscription,tt23849204
Sunset Blvd.,gg_3,"From  25.000,00",tt0043014
Spider-Man: Into The Spider-Verse,gg_4,Subscription,tt4633694
Spider-Man: Into The Spider-Verse,gg_6,Subscription,tt4633694
Spider-Man: Into The Spider-Verse,gg_3,Subscription,tt4633694
Spider-Man: Into The Spider-Verse,gg_2,Subscription,tt4633694
Witness For The Prosecution,gg_2,"From  25.000,00",tt0051201
The Shining,gg_4,Subscription,tt0081505
The Shining,gg_2,Subscription,tt0081505
Inglourious Basterds,gg_1,Subscription,tt0361748
Inglourious Basterds,gg_2,Subscription,tt0361748
Inglourious Basterds,gg_3,Subscription,tt0361748
The Dark Knight Rises,gg_4,Subscription,tt1345836
The Dark Knight Rises,gg_2,Subscription,tt1345836
The Dark Knight Rises,gg_3,Subscription,tt1345836
Amadeus,gg_2,"From  25.000,00",tt0086879
Dr. Strangelove Or: How I Learned To Stop Worrying And Love The Bomb,gg_2,"From  25.000,00",tt0057012
Good Will Hunting,gg_4,Subscription,tt0119217
Good Will Hunting,gg_2,Subscription,tt0119217
Princess Mononoke,gg_5,Subscription,tt0119698
Requiem For A Dream,gg_2,"From  25.000,00",tt0180093
2001: A Space Odyssey,gg_3,"From  25.000,00",tt0062622
2001: A Space Odyssey,gg_2,"From  25.000,00",tt0062622
Reservoir Dogs,gg_2,"From  25.000,00",tt0105236
Lawrence Of Arabia,gg_5,Subscription,tt0056172
Lawrence Of Arabia,gg_3,Subscription,tt0056172
Lawrence Of Arabia,gg_2,Subscription,tt0056172
The Apartment,gg_2,"From  25.000,00",tt0053604
Scarface,gg_1,Subscription,tt0086250
Scarface,gg_6,Subscription,tt0086250
North By Northwest,gg_3,"From  25.000,00",tt0053125
North By Northwest,gg_2,"From  25.000,00",tt0053125
Citizen Kane,gg_2,"From  25.000,00",tt0033467
Citizen Kane,gg_3,"From  25.000,00",tt0033467
Heat,gg_6,Subscription,tt0113277
Full Metal Jacket,gg_3,"From  28.000,00",tt0093058
Oppenheimer,gg_4,Subscription,tt15398776
Oppenheimer,gg_2,Subscription,tt15398776
Oppenheimer,gg_3,Subscription,tt15398776
Indiana Jones And The Last Crusade,gg_3,"From  25.000,00",tt0097576
Indiana Jones And The Last Crusade,gg_2,"From  25.000,00",tt0097576
Snatch,gg_6,Subscription,tt0208092
Snatch,gg_2,Subscription,tt0208092
Snatch,gg_3,Subscription,tt0208092
L.A. Confidential,gg_6,Subscription,tt0119488
Taxi Driver,gg_2,"From  25.000,00",tt0075314
Taxi Driver,gg_3,"From  25.000,00",tt0075314
Batman Begins,gg_5,Subscription,tt0372784
Batman Begins,gg_4,Subscription,tt0372784
Batman Begins,gg_2,Subscription,tt0372784
Batman Begins,gg_3,Subscription,tt0372784
The Father,gg_2,"From  25.000,00",tt10272386
Shutter Island,gg_3,"From  25.000,00",tt1130884
Shutter Island,gg_2,"From  25.000,00",tt1130884
Jurassic Park,gg_1,Subscription,tt0107290
Jurassic Park,gg_6,Subscription,tt0107290
Jurassic Park,gg_2,Subscription,tt0107290
Jurassic Park,gg_3,Subscription,tt0107290
No Country For Old Men,gg_3,"From  25.000,00",tt0477348
No Country For Old Men,gg_2,"From  25.000,00",tt0477348
A Beautiful Mind,gg_3,"From  25.000,00",tt0268978
A Beautiful Mind,gg_2,"From  25.000,00",tt0268978
The Treasure Of The Sierra Madre,gg_2,"From  25.000,00",tt0040897
Monty Python And The Holy Grail,gg_2,"From  25.000,00",tt0071853
Gone With The Wind,gg_3,"From  25.000,00",tt0031381
