,netflixid,title,image,synopsis,rating,type,released,runtime,largeimage,unogsdate,imdbid,download
0,81218363,Sillu Karuppatti,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABe5MBjyp7pc1drKomfeyUiNo-FCglFJL_0WYkTgQTf0Xp1C6JrjjAg7ggjXB_duuueN1JMGGoEwKvLJG0q3KeM6WUQ.jpg?r=c4b,"From first crushes to post-marriage relationships, love and connection are at the heart of the four interwoven stories in this anthology film.",8.8,movie,2019,2h13m,https://occ-0-37-33.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABTa-j90nRDSjyWS97zW5IPPKUk_sg7Wag7KbWvY0EMhU-7OHeNR-F9xfIbNko07Xa0gcA-osEawPtqAwYLPBAUzFx4L6.jpg?r=c4b,2020-01-26,tt9614988,0
1,70272846,30 for 30: Survive and Advance,http://art-0.nflximg.net/40031/f380436ffeb09a7fb0dc539f470b4108e0740031.jpg,"In 1983, the NC State Wolfpack, coached by Jim Valvano, stayed alive in the postseason by winnning nine do-or-die games in a row--seven of which they were losing in the final minute.",8.7,movie,2013,1h41m,http://cdn0.nflximg.net/images/8232/11928232.jpg,2015-04-14,tt2751904,0
2,81086533,Downton Abbey,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABYDX0KrGrFBMgcFES9Rk-2Tb8_vuCPuyTvUehsrmXKpY9_vPD3-gBtvVTudRzGXb_vzEUmVEuezn9mKwcZPQthWYpA.jpg?r=257,Turn back the clock with the Crawley family and their staff as they prepare for a new era and a royal visit. But even perfect plans can go awry.,8.7,movie,2019,2h1m,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQd6KXJq7a4l67auSueAfnd2DDbcr10JHEtP1r9prFhWfhLhwG4_DCStMM_cg_vb0ox5ZgbCLkjtwrGAEdXxUCwN1fut.jpg?r=257,2020-07-17,tt1606375,0
3,81281469,Ani... Dr. Kashinath Ghanekar,https://occ-0-2851-1432.1.nflxso.net/dnm/api/v6/1lcgfy_NA26l7dfd356LqCUdNPM/AAAABd433JwKRehR234CKPzSQFvoJ28fCxvQKnP4BuVJIPx5kOy68ZpEqu6FKTpbEhoHIFxUDWplKprODDCh0nQOIk21AWHTVa6D1dTU3dJogk2sh8s.jpg?r=897,"From his singular career to his personal demons, this biopic chronicles the short yet prolific life of the Marathi dentist-turned-superstar.",8.7,movie,2018,2h37m,https://occ-0-1068-92.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABdMFx7FsUDNxMTCPtGOeITFgXtv-R7CuKyZBydHUt6W3jhvDhDSFTaV8eTBWB_yH8qZe8erKeg6sIJmL0Hu22gqmTAH3.jpg?r=237,2020-09-09,tt8784906,0
4,81327516,One,https://occ-0-487-1722.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABf_mGAq2KBhD0JrYxYcRjmKDTGg3Qyf3ytOD_nzqd_dM-HTXQuHY5J65pCn7Wd0w9QK5eJKx1msMojNV2yRYYTrWIw.jpg?r=bc1,A formidable Kerala chief minister&rsquo;s party loyalties and personal principles are tested when a damning social media post sparks a heated power struggle.,8.7,movie,2020,2h29m,https://occ-0-1142-1722.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABa1brC18g9_A0HUJ4aVNYwn8Yau2K3Nok2anXdBBIcS0eueqJWOwyIlNxwaJzJv-D_Mjp3H4BeiFWri4a1ONesi9wX-Q.jpg?r=bc1,2021-04-27,tt0073486,0
5,70137756,30 for 30: The Two Escobars,http://art-0.nflximg.net/bcae2/096f01e39d68063742a315279a7a244f7acbcae2.jpg,This ESPN documentary draws parallels between two renowned Colombians: soccer star Andr&eacute;s Escobar and international drug kingpin Pablo Escobar.,8.6,movie,2010,1h43m,http://cdn0.nflximg.net/images/0136/8780136.jpg,2015-04-14,tt1493943,0
6,70170093,30 for 30: Once Brothers,http://art-0.nflximg.net/ffc47/4b14010cb9ce8e411c1b65f2d2fa84aa8c0ffc47.jpg,Future NBA stars Drazen Petrovic and Vlade Divac were teammates and friends in Yugoslavia. But their country&#39;s civil war made them blood enemies.,8.6,movie,2010,1h19m,http://cdn0.nflximg.net/images/0409/8310409.jpg,2015-04-14,tt1738398,0
7,879522,Psycho,https://occ-0-768-769.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVenV3l_aS7ZfYipU-qlbdvKKTi90WNt8TG-YDa9xyvYFjEfVpCGUpod_0k1iPFzKp0PXq2JYgT2pNJarpEYtGndyA.jpg?r=39e,"When a larcenous real estate clerk goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel.",8.5,movie,1960,1h48m,https://occ-0-58-64.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABeNjuxonh1J3880z1XJA4coU57J0vy8WwKxWZF2UTcpAacs1dQhYniDILYu_7Z9bn87Ks3U4abCJfGpHIY4tJZfLCBmw.jpg?r=39e,2015-04-14,tt0054215,1
8,70170051,Senna,https://occ-0-1490-1489.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQCuhrRMtZoVmhPy_IDUMHwHdTbS-nvC5BKHk-lnFf1qMgwvYYRRghf7DQ658gIMb0JR8grf_r9cNg55RgxqcP5YXg.jpg?r=f25,"This fast-paced documentary profiles Ayrton Senna, one of the greatest drivers in the history of Formula One racing, and a hero in his native Brazil.",8.5,movie,2010,1h45m,https://occ-0-1068-92.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABaJI2O6j2Ts4PSYOqwYqzW9ukk4_pMm8Hh9LWYeDHdgcHVbyj2hVl5a-XNY_4lQKwqIyQRvsM60O5uT5GvYf6N6Ndt-0.jpg?r=d04,2015-04-14,tt1424432,1
9,70299275,Whiplash,https://occ-0-1926-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABUI7YbyRG15XY-DX28123IW_jkbxBrYoL6uDy5x7EaUlDyOE-_6PPinKBvrZfwEb8M2pir38qme_FuDilPN4Ox2hHw.jpg?r=0c5,"Driven by his demanding music teacher, drummer Andrew is determined to succeed as a jazz musician -- even if it destroys his personality.",8.5,movie,2014,1h46m,https://occ-0-56-55.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXqhCChZkwxScFI2e_ATi1XTgD99Fh1TBJKLgZ-n2MoLRB-tTqtfDyov581FHKiJIQLvreRX28aPXK9fqYflK93G87jO.jpg?r=51f,2015-06-09,tt2582802,1
